Link	Açıklama
3254034	بحصار إسرائيلي.. شبح الجوع يتغول على شمال قطاع غزة (تقرير)
3254035	Japon : Le Premier ministre Fumio Kishida survit à une motion de censure
3254036	Şampiyon okçu Buğlem Sare Deveci, hedefine milli takımı koydu
3254037	Irak'ın kuzeyinde 5 PKK'lı terörist etkisiz hale getirildi
3254039	Россия и Вьетнам намерены укреплять всеобъемлющее стратегическое партнерство
3254040	کانادا کامیون تبلیغاتی حاوی پیام‌های ضد مسلمانان در شهر تورنتو را بررسی می‌کند
3254041	عائلات الأسرى الإسرائيليين بغزة: الوقت ينفذ ويجب إعادتهم
3254042	Numri i përgjithshëm i refugjatëve palestinezë tejkalon gjashtë milionë
3254044	اسرائیل: قبل از اینکه خیلی دیر شود، باید ایران را متوقف کنیم
3254045	Le nombre de réfugiés palestiniens dépasse les 6 millions, selon les autorités
3254046	أونروا: 67 بالمئة من البنية التحتية بغزة مدمرة أو متضررة 
3254047	رئيس بلدية رفح: 70 بالمئة من مرافق المدينة دمرتها إسرائيل
3254048	Heywandarê Wanî 30 sal e li zozana bi raqima 2 hezar û 500î pez xwedî dike
3254049	Ministri i Jashtëm izraelit: Duhet ta ndalojmë menjëherë Iranin para se të jetë tepër vonë
3254050	مقتل شخص بغارة إسرائيلية جنوب لبنان 
3254055	الدفاع التركية: تحييد 5 إرهابيين شمالي العراق
3254056	France / Législatives anticipées : Gabriel Attal détaille le programme du camp présidentiel
3254058	Filistin İstatistik Kurumu: Filistinli mültecilerin sayısı 6 milyonu geçti
3254060	Путин во Виетнам: „Зајакнувањето на нашето стратешко партнерство е меѓу приоритетите“
3254061	İsrailli esirlerin aileleri, "esir takası anlaşması" talebiyle Tel Aviv’de yolları kapattı
3254062	لابيد يتوقع انتخابات مبكرة في 2024 ورحيل حكومة نتنياهو
3254063	La Corée du Sud saisit un navire cargo soupçonné d’avoir violé les sanctions de l'ONU contre la Corée du Nord
3254064	ئەو ڤیدیۆیانەی لەبارەی تەندروستیی بایدن بڵاوکراونەتەوە بوونەتە جێی مشتومڕی سیاسی
3254065	Toronto police launch hate crime probe into van playing Islamophobic video
3254066	Ministre israélien : ‘Nous nous préparons à des enterrements massifs en raison d'une éventuelle guerre avec le Liban’
3254067	Djeca u Gazi igraju se u bazenu kako bi bar nakratko zaboravili ratne strahote
3254068	حەماس ھەوڵەکانی ئیسرائیل بۆ ھەڵوەشاندنەوەی "UNRWA" ڕەت دەکاتەوە
3254069	Северна Кореја тврди дека договорот за стратешко партнерство со Русија претставува воен сојуз
3254070	Ministarstvo rada FBiH izdalo preporuke poslodavcima za zaštitu radnika zbog visokih temperatura
3254071	Türkiye Diyanet Vakfı, 35 milyona yakın ihtiyaç sahibine kurban eti ulaştırdı
3254072	روسیه و ویتنام «مشارکت جامع  راهبردی» را تقویت خواهند کرد
3254073	دیدار علی باقری با نخست‌وزیر قطر و رهبر حماس
3254074	پنج تروریست پ.ک.ک در شمال عراق از پای درآمدند
3254075	بثيابٍ دامٍ وقلب مفطور.. الأردني شاهين يحاكي معاناة الغزيين (تقرير)
3254076	مرکز آمار فلسطین: تعداد پناهجویان فلسطینی از 6 میلیون نفر گذشت
3254077	Црна Гора: Две лица загинаа од експлозија на бомба близу Спортскиот центар во Цетиње
3254078	Terrorisme : l'armée turque neutralise cinq membres du PKK dans le nord de l'Irak
3254079	Dünyada mülteci sorunu büyürken AB gibi müreffeh aktörlerin kayıtsızlığı dikkati çekiyor
3254080	اهتمام كبير بالمنتجات التركية في معرض الصناعات الدفاعية بباريس
3254081	Turkiye: Planina Nemrut privlači hiljade turista
3254082	Hamasi: Jemi të përkushtuar ndaj të drejtës së kthimit të palestinezëve të dëbuar me forcë
3254083	Narman Peribacaları bayram tatilinde turistleri ağırlıyor
3254084	„Не се плашиме од кинеската економска и воена доминација“, изјави малезискиот премиер
3254086	Od 7. oktobra prošle godine: U izraelskim napadima na Gazu ubijen 37.431 Palestinac
3254087	Japanese Premier Kishida survives no-trust motion
3254089	 İsrail'in 258 gündür saldırılarını sürdürdüğü Gazze'de can kaybı 37 bin 431'e çıktı
3254090	Kominike sa sjednice UO PIC-a: Suverenitet pripada BiH, a entiteti nisu države
3254091	Dutch far-right leader Wilders faces setbacks in forming coalition government
3254092	При ударе ВВС Израиля по югу Ливана погиб один человек 
3254093	Raport: Incidentet e urrejtjes kundër muslimanëve janë rritur që nga fillimi i luftës në Gaza
3254094	صحة غزة: ارتفاع عدد شهداء الحرب إلى 37 ألفا و431
3254095	Bajarê qedîm Mêrdîn di betlaneya Eyda Qurbanê da qelebalix bû
3254096	Extreme events 'turbocharged by climate chaos' piling up, warns UN chief
3254097	Fenerbahçe'de Mourinho göreve başladı 
3254098	UNRWA : 67% des infrastructures de Gaza détruites ou endommagées 
3254099	Nga një shpërthim në Malin e Zi humbin jetën dy persona plagosen rëndë tre të tjerë
3254100	Tarsus Doğa Parkı'nı Kurban Bayramı'nda 16 bin kişi ziyaret etti
3254101	Oil prices mixed amid supply risks, demand worries
3254102	TCG Kınalıada korveti Japonya'da geçiş eğitimine katıldı
3254103	Hate incidents against Muslims increased since start of Mideast conflict: Report
3254104	Familjarët e pengjeve izraelite bllokojnë rrugët në Tel Aviv, kërkojnë "marrëveshje për shkëmbim të të burgosurve"
3254105	Évolution mitigée des cours du pétrole sur fond de risques menaçant l'offre et d’inquiétudes liées à la demande
3254106	SHBA, posterë me "Dhjetë Urdhërat" varen në shkollat shtetërore në Luiziana
3254107	У берегов турецкого Бодрума пришвартовались два круизных лайнера  
3254108	İtalya'da Napoli yakınlarında çıkan orman yangını kontrol altına alındı
3254109	غانتس: نتنياهو يتخلي عن سكان مناطق الشمال قرب لبنان 
3254110	Li Edeneyê keçika 9 salî ya ku tivinga di destê wê da teqiya, mir
3254111	بنیاد دیانت ترکیه بین 35 میلیون نیازمند در جهان گوشت قربانی توزیع کرد
3254113	الاتحاد الأوروبي يوافق على حزمة عقوبات جديدة ضد روسيا
3254114	İngiltere Merkez Bankası, politika faizini değiştirmedi
3254115	Antalya sahillerinde bayram tatili yoğunluğu sürüyor
3254116	Туркије: Планината Немрут привлекува илјадници туристи
3254117	الضفة.. ارتفاع حصيلة الاعتقالات الإسرائيلية إلى 9 آلاف و300 منذ 7 أكتوبر
3254118	غزة.. قتلى وجرحى في غارات متفرقة واستمرار الاشتباكات برفح
3254119	Gaza, numri i të vrarëve nga sulmet izraelite rritet në 37.431
3254120	خانواده‌های اسرای اسرائیلی با بستن بزرگراه‌ها خواستار توافق با حماس شدند
3254121	 Постпреды страны ЕС согласовали 14-й пакет санкций против РФ
3254122	تقرير أممي: وجود هدف من حماس لا يجعل حيّا بأكمله هدفا عسكريا
3254123	Ministère de la Santé de Gaza : Le bilan des victimes de la guerre israélienne s'est alourdi à 37 431 morts
3254124	Kreu i NATO-s paralajmëron për pasoja nëse Kina vazhdon të mbështesë luftën e Rusisë në Ukrainë
3254125	Kütahya'da trafik kazasında 2 kişi öldü, 3 kişi yaralandı
3254126	U Sarajevu konferencija povodom Međunarodnog dana izbjeglica: Zatočeni između Dejtona i EU-a
3254127	هنية ووزير خارجية إيران يبحثان جهود وقف "الإبادة" بغزة 
3254128	3 injured as Ukraine claims downing over 30 objects in overnight Russian airstrike
3254129	L’ICESCO exhorte la communauté mondiale à soutenir tous les réfugiés 
3254130	Li bakurê Iraqê 5 terorîstên PKKyî hatin berterefkirin
3254131	Бројот на загинати Палестинци во израелските напади врз Газа надмина 37.400
3254132	Lideri i opozitës izraelite akuzon Netanyahun për "braktisjen" e veriut të Izraelit
3254133	Rapport : Hausse des incidents à caractère haineux à l'encontre des musulmans depuis le début du conflit au Moyen-Orient
3254135	Palestinske vlasti: Broj palestinskih izbjeglica premašio šest miliona
3254138	TFF Yönetim Kurulu Üyesi Hamit Altıntop: Turnuvada maçlar hep ortada gidiyor, 1-2 pozisyon fark yaratıyor
3254139	Число жертв израильской агрессии в Газе с 7 октября 2023 года возросло до 37 431 
3254140	مسؤولة أممية بعد قضاء أسبوع بغزة: "إنها حرب على النساء"
3254141	Gradonačelnik Rafaha: Izraelska vojska uništila više od 70 posto javnih objekata
3254142	France / Législatives anticipées : Éric Ciotti et Jordan Bardella côte à côte devant le Medef
3254143	Rusya Merkez Bankasından faizi "önemli ölçüde artırabiliriz" mesajı
3254144	South Korea says will reconsider issue of arms supply to Ukraine
3254145	وقف الديانة التركي يوزع لحوم أضاح على 35 مليون محتاج بالعالم
3254146	İçişleri Bakanı Yerlikaya'dan Ilısu Barajı paylaşımı
3254148	Çanakkale'de tarım arazisinden bozuk orman alanına sıçrayan yangın kontrol altına alındı
3254151	Gaza death toll from Israeli onslaught exceeds 37,400
3254152	Русија: Беспилотни летала погодија складишта за нафта во регионите Тамбов и Адигеја
3254153	İsrail askerleri Batı Şeria'daki baskınlarda 20 Filistinliyi gözaltına aldı
3254154	Türkiye's TCG Kinaliada corvette, Japan’s destroyer conduct joint training
3254155	"Refugjatët janë personat më të cenueshëm në botë"
3254156	وزیر اسرائیلی: به‌دلیل جنگ احتمالی با لبنان در حال آماده شدن برای مراسم خاکسپاری هستیم
3254157	Bakan Bak'tan "Gençlik Yaz Okulları" müjdesi
3254158	World Refugee Day: Bangladesh monsoon, landslides add to Rohingya woes
3254159	Anadolu Efes'te Clyburn ile yollar ayrıldı
3254160	الحوثي: سفينة أخرى توشك على الغرق بخليج عدن بعد السفينة توتور
3254162	Haïti: La situation des déplacés internes inquiète, alertent les Nations unies 
3254167	تونس: تأجيل فتح معبر رأس جدير الحدودي مع ليبيا
3254168	Cisjordanie : Le nombre de Palestiniens interpellés par Israël augmente à 9 300 depuis le 7 octobre
3254170	Schmidt: Ponašanje vlasti RS-a koje je protivno Dejtonskom sporazumu neće se tolerisati
3254172	المركزي السويسري يخفض أسعار الفائدة وبنك إنجلترا يثبت
3254173	Elazığ'da ormanlık alanda çıkan yangın kontrol altına alındı
3254174	 Палестинское центральное статистическое бюро: число палестинских беженцев превышает 6 млн
3254175	Orta ve Kuzey Amerika'da aşırı sıcaklar Sanayi Devrimi öncesine göre 35 kat daha olası
3254176	Ministri izraelit: Po përgatitemi për ceremoni të mëdha funerali për shkak të luftës së mundshme me Libanin
3254177	Израел се подготвува за можни „масовни погребувања“ во случај на војна со Либан
3254178	Israel arrests 20 more Palestinians in West Bank raids
3254179	Hacıların kutsal topraklardan yurda dönüşü başladı
3254180	کره جنوبی یک کشتی باری را توقیف کرد
3254181	На севере Ирака нейтрализовали 5 террористов РКК
3254182	مسؤول إسرائيلي: "نصر الله" يمكنه إسقاط شبكتنا الكهربائية بسهولة
3254184	В Минобороны РФ сообщили о нанесении ответного "группового удара" по объектам энергетики Украины
3254185	Doğu Akdeniz'de sıcak hava ve nemin etkisi devam ediyor
3254186	В Тегеране назвали «посягательством на национальный суверенитет» решение Канады по КСИР
3254187	Srbija: Eksplozija u magacinu "Evrojuga" u Šidu
3254188	Турските сили неутрализираа петмина терористи на ПКК во Северен Ирак
3254190	"حزب الله" يعلن مقتل عنصر بمواجهات مع الجيش الإسرائيلي 
3254192	Families of Israeli hostages demonstrate in Tel Aviv to demand prisoner swap with Hamas
3254193	نصفهم بغزة.. إصابة 6 جنود إسرائيليين خلال 24 ساعة 
3254195	Градоначалникот на Рафа: Над 70 отсто од јавните објекти во градот уништени од израелската армија
3254197	La Russie réclame le retrait des armes nucléaires américaines d'Europe
3254199	Li Hekariyê çiyager hildikşin serê Çiyayê Simbilê
3254200	گروه تروریستی پ.ک.ک/ی.پ.گ یک کودک دیگر را در شمال سوریه ربود
3254202	Küresel uluslararası doğrudan yatırım hacmi 1,33 trilyon dolara geriledi
3254203	İstanbul'da bayram tatilinde tarihi mekanlarda ziyaretçi yoğunluğu oluştu
3254204	Hazine ve Maliye Bakanlığından "19 KİT'in özelleştirileceği ve satılacağı" iddialarına yalanlama
3254205	تهديد وابتزاز.. ضغوط الشركاء تضيق الحلقة حول نتنياهو (تقرير إخباري)
3254208	İBB, Halk Ekmek'e yüzde 60 zam yaptı
3254209	Izrael uhapsio još 20 Palestinaca u racijama na Zapadnoj obali
3254210	TFF, Süper Lig'de yabancı futbolcu fon bedellerini açıkladı
3254211	Les familles des otages israéliens manifestent à Tel Aviv pour exiger un échange de prisonniers avec le Hamas
3254213	In conservation milestone, Iberian lynx pulled from endangered list
3254215	Ushtarët izraelitë arrestojnë 20 palestinezë në Bregun Perëndimor
3254216	Depremlerde zarar gören 159 yıllık cami yeniden ayağa kaldırılıyor
3254218	В Тель-Авиве готовятся к массовым похоронам из-за возможной войны с Ливаном
3254219	Over 70% of public facilities in Rafah destroyed by Israeli army: Mayor
3254220	В Беларуси предупредили о недопустимости провокаций на украинско-белорусской границе
3254221	Банк России не исключает возможность «существенно повысить ключевую ставку»
3254222	La Banque nationale suisse réduit son taux directeur de 25 points de base
3254223	Почина седуммесечно бебе по каснување од куче во Британија
3254224	Russia says drone attacks struck oil depots in Tambov, Adygea regions
3254225	Kevirên Cinan ên Narmanê di eydê da mazûvaniya turîstan dike
3254227	TeknOn ile teknolojide bu hafta (14 Haziran-20 Haziran)
3254229	60 saniyede bugün (20 Haziran 2024)
3254230	Dr. Jasmina Nurkić pojašnjava: Najbolji način kako izbjeći ubod pčele, ose ili stršljena
3254232	الجيش الإسرائيلي يعلن اغتيال قيادي بـ"حزب الله" جنوب لبنان 
3254233	اسرائیل 20 فلسطینی را در کرانه باختری اشغالی بازداشت کرد
3254234	الهلال الأحمر التركي يوزع لحوم أضاحي على 6 آلاف أسرة يمنية
3254235	Gazze Şeridi'nin kuzeyindeki açlık krizi Filistinlilerin hayatını tehdit ediyor
3254236	La Corée du Sud va réexaminer la question de l'armement de l'Ukraine
3254237	Челникот на Хамас и иранскиот министер за надворешни работи разговараа за израелската војна во Газа
3254238	Hazine ve Maliye Bakanı Şimşek: Güçlü bir dezenflasyon sürecinin eşiğindeyiz
3254239	Adana'da çıkan orman yangını kontrol altına alındı
3254240	Hamas chief, Iran’s foreign minister discuss efforts to end Israeli war on Gaza
3254241	Climate activists spray paint private jets at London airport
3254243	РФ и Вьетнам выразили приверженность справедливому и долгосрочному урегулированию палестинского вопроса
3254245	Jačanje veza i upoznavanje kulture: Polaznici kurseva turskog jezika iz Srbije posjetili Turkiye
3254246	یەکێتیی ئەورووپا ڕەزامەندی نیشاندا لەسەر سەپاندنی سزای نوێ بەسەر ڕووسیا
3254247	Another Hezbollah fighter killed in Israeli strike in southern Lebanon
3254248	إعلام عبري: إطلاق 10 صواريخ من لبنان على شمال إسرائيل 
3254249	Türkiye ‘neutralizes’ 5 PKK terrorists in northern Iraq
3254250	سیل و رانش‌زمین در بنگلادش 12 قربانی گرفت
3254252	Çorum'da İncesu Kanyonu, bayram tatilinde ziyaretçilerin uğrak noktası oldu
3254253	Şanlıurfa'da “kavurucu” sıcaklar etkili oluyor
3254255	NATO Genel Sekreterliği için tek aday Hollanda Başbakanı Mark Rutte kaldı
3254256	سوپای ئەمریکا: "چوار ئامانجی حووسییەکانمان لە یەمەن لەناوبردووە"
3254257	الضفة.. إصابة فلسطيني برصاص الجيش الإسرائيلي في قلقيلية 
3254258	Çanakkale ve Balıkesir için fırtına uyarısı 
3254259	France / Législatives anticipées : Éric Ciotti conteste la classification à l’extrême-droite de ses candidats
3254260	Svetski dan izbeglica obeležen na Kosovu: Izbeglice najugroženiji “narod“ na svetu
3254261	6 Israeli soldiers injured in last 24 hours, military says
3254262	Russia, Vietnam sign 15 documents aimed at expanding bilateral cooperation in different fields
3254263	Uşak'ta yangının zarar verdiği alanlar havadan görüntülendi
3254264	Gjermania do të porosisë 105 tanke të reja "Leopard"
3254265	Swiss National Bank reduces policy rate by 25 basis points
3254266	Израел приведе уште 20 Палестинци во рации на Западниот Брег
3254267	Çanakkale, Adana ve Balıkesir'deki yangınlara müdahale sürüyor
3254268	North Korea, Russia agree to provide military assistance 'without delay' if either attacked
3254270	Almanya'nın 105 yeni Leopard tankı siparişi vereceği iddia edildi
3254271	DHKP-C terrorist gets 3-year jail term in Germany
3254272	Rumunski predsjednik se povukao iz trke za šefa NATO-a
3254274	Global health has become 'geopolitical,' says French president
3254275	Almanya'da DHKP-C’li teröriste 3 yıl hapis cezası verildi
3254277	Romanian president withdraws candidacy for NATO chief in support of Dutch Premier Mark Rutte’s bid
3254279	Terorista DHKP-C u Njemačkoj osuđen na tri godine zatvora
3254280	Sümela Manastırı'nı bayramda 14 bin 627 kişi ziyaret etti
3254287	Klimatski aktivisti prskali bojom privatne avione na londonskom aerodromu
3254290	Au moins 6 soldats israéliens blessés au cours des dernières 24 heures, selon l'armée
3254291	La Corée du Nord et la Russie signent un accord d’assistance militaire mutuelle “sans délai“ en cas d'agression
3254292	الصحة العالمية: الهجمات على مرافق صحية بالسودان "مروعة" 
3254293	Pheniani: Koreja e Veriut dhe Rusia dakord të ofrojnë ndihmë ushtarake "pa vonesë" nëse ndonjëra sulmohet
3254294	Kryeministri holandez Mark Rutte kandidati i vetëm për Sekretar të Përgjithshëm të NATO-s
3254296	Israeli army reports fresh rocket fire from Lebanon as border tension soars
3254297	Kriza na sjeveru Pojasa Gaze: Više od milion Palestinaca će se sredinom jula suočiti sa smrću i glađu
3254298	سوريا.. تنظيم "واي بي جي" الإرهابي يختطف طفلا لتجنيده
3254299	Racism, Islamophobia must be resolved in Europe to prevent irregular migration: Spanish NGO
3254300	Okçulukta Dünya Kupası'nın 3. ayağı Antalya'da sürüyor
3254301	Романскиот претседател се повлече од трката за шеф на НАТО
3254302	Turkish fintech startups receive $166 million in investments from January - May
3254303	رئيس وزراء هولندا مرشح وحيد للأمانة العامة للناتو
3254307	إصابات بقصف إسرائيلي استهدف شاحنة جنوب لبنان 
3254309	Investigation launched against driver who broadcast Islamophobic content on vehicle in Canada
3254311	الحوثي: غارة أمريكية بريطانية على الحديدة 
3254313	2 killed in Moscow rainstorm
3254314	Čelnik Hamasa Haniyeh razgovarao sa šefom iranske diplomacije Bagherijem u Kataru
3254315	Almanya'da grevler nedeniyle kaybedilen iş günü sayısı 1,5 milyona ulaştı
3254316	PKK/YPG terrorists kidnap another child in Syria
3254317	Южная Корея задержала судно по подозрению в нарушении санкций ООН против КНДР
3254318	Milli futbolcu Merih Demiral: Kazanmak istiyoruz, elimizden gelenin en iyisini yapmaya çalışacağız
3254319	الحوثي: استهدفنا 153 سفينة إسرائيلية وأمريكية وبريطانية منذ نوفمبر 
3254320	شهردار رفح: 70 درصد از تاسیسات توسط اسرائیل ویران شدند
3254322	Британские экоактивисты распылили оранжевую краску на самолеты, требуя отказаться от ископаемого топлива  
3254324	İsrail askerleri, işgal altındaki Batı Şeria'da bir çocuğu öldürdü
3254325	Beşiktaş'ta Tüpraş Stadı'nın zemin yenileme çalışmaları başladı 
3254326	S&P 500 climbs above 5,500 record-high level for 1st time in history
3254329	Najmanje 25 Palestinaca ubijeno u izraelskim napadima na različite dijelove Gaze
3254331	China slams Dalai Lama’s gov't-in-exile as ‘outright separatist’ organization
3254334	İstanbul'un ormanlık alan ve plajlarında tatilden geriye çöpler kaldı
3254335	В Узбекистане развивают круглогодичный туризм
3254336	Global foreign direct investments down 2% in 2023
3254337	دست‌کم 25 نفر در حملات اسرائیل به مناطق مختلف غزه جان باختند
3254338	الضفة.. مقتل طفل فلسطيني برصاص إسرائيلي في قلقيلية 
3254339	Правящая партия Азербайджана призвала распустить парламент
3254340	European Commission urged to probe Greek Coast Guard actions causing alleged migrant deaths
3254341	Çanakkale'de çöplük alandan ormana sıçrayan yangın kontrol altına alındı
3254342	AP milletvekilleri Yunanistan'ın geri itmelerine dair yeni iddiaların soruşturulmasını istedi 
3254344	Oluja i jaka kiša u Moskvi: Poginula jedna osoba
3254345	İzmir'in Bergama ilçesinde çıkan orman yangınına müdahale ediliyor
3254346	Минздрав РФ: на лечении в стационарах находится 301 человек с диагнозом ботулизм 
3254347	مارک روته؛ تنها کاندیدای دبیرکلی ناتو
3254348	В Санкт-Петербурге продолжает работу XII Международный военно-морской салон «Флот-2024»
3254349	Şanlıurfa'da 1 mahalle kuduz nedeniyle karantinaya alındı
3254350	Germany to purchase 105 new Leopard battle tanks: Report
3254351	Palestinian child killed by Israeli gunfire in West Bank
3254352	کودک فلسطینی بر اثر یورش سربازان اسرائیل در کرانه باختری کشته شد
3254353	Turkish diplomat killed by Armenian terror group remembered in Vienna
3254354	EURO 2024: Srbija u 96. minuti izbjegla poraz od Slovenije
3254355	Kurban Bayramı'nda ALO 181'e gelen bazı çağrılar gülümsetti
3254356	Sırbistan, Slovenya karşısında 1 puanı son anda kurtardı
3254357	UN chief warns about increasing use of cyberspace as weapon in armed conflicts
3254358	Malaysia, China to launch bilateral dialogue on maritime issues
3254359	Yemen’s Houthis report fresh US-British airstrike on Al Hudaydah
3254360	Israël : Lapid prévoit des élections anticipées en 2024 et le départ du gouvernement Netanyahu
3254361	Izvještaj: Njemačka će kupiti 105 novih borbenih tenkova Leopard
3254362	Espagne - ONG : Le racisme et l'islamophobie doivent être résolus en Europe pour prévenir la migration irrégulière
3254363	Le Premier ministre néerlandais Mark Rutte désormais sans rival pour devenir le chef de l'OTAN
3254364	Guterres: Siber uzay, çatışmalarda giderek artan düzeyde silah olarak kullanılıyor
3254365	Hindistan'da aşırı sıcaklar sebebiyle 9 günde 192 evsiz öldü
3254366	Uručeno priznanje "Plaketa Grada Sarajeva" čiji je dobitnik prof. dr. Ljubiša Zečević
3254367	France / Sommet mondial sur le Vaccin : Macron veut "renvoyer le choléra au passé"
3254368	UN experts warn states, firms to stop supplying arms to Israel or face accountability
3254369	Indija: Usljed eksremne vrućine u devet dana preminula 192 beskućnika 
3254371	Al-Houthi affirme avoir ciblé 153 navires israéliens, américains et britanniques depuis novembre 
3254374	Borsa günü yükselişle tamamladı
3254377	Para milli yüzücüler Elif İldem ile Meryem Nur Tunuğ, Paris 2024'e kota aldı
3254379	Italija je spremna da izdvoji 150 miliona dolara za vakcinaciju u Africi 
3254382	گرمای شدید در هند؛ 192 بی‌خانمان جان باختند
3254383	إطلاق 45 صاروخا من لبنان على شمال إسرائيل 
3254384	تحقيق إسرائيلي: مقتل وإصابة جنود بنيران صديقة في هجوم 7 أكتوبر
3254386	La Commission européenne va proposer une procédure de déficit excessif contre plusieurs États membres dont la France 
3254387	Марк Рютте остался единственным претендентом на пост генсека НАТО
3254388	BM üyeleri, siber uzayın kötü niyetli kullanımına karşı uyardı
3254389	زعيم الحوثيين: 24 غارة أمريكية بريطانية على اليمن في أسبوع
3254390	غوتيريش يدعو لدمج اللاجئين "بشكل كامل" في المجتمعات المضيفة
3254391	"وزارة الأسرى" بغزة: استشهاد 36 معتقلا من القطاع تحت التعذيب 
3254392	Shefi i OKB-së paralajmëron për rritjen e përdorimit të hapësirës kibernetike si armë në konfliktet e armatosura
3254393	France : Macron annonce une nouvelle impulsion du partenariat avec le Sénégal
3254394	Antalya, Alman turistlerin yaz için en fazla rezervasyon yaptığı destinasyonlar arasında
3254395	Le déficit de la balance courante des États-Unis se creuse à 7,2 % au premier trimestre 2024
3254396	Šef UN-a upozorava na sve veću upotrebu cyber prostora kao oružja u oružanim sukobima
3254397	Milli para halterci Abdullah Kayapınar'dan Dünya Kupası'nda gümüş madalya
3254398	عمّان تعلن ارتفاع عدد تصاريح الدفن بمكة لحجاج أردنيين إلى 68
3254399	نواب أوروبيون يطالبون بتحقيق ضد اليونان حول الإعادة القسرية للاجئين
3254400	إسرائيل تفرج عن عزيز الدويك رئيس البرلمان الفلسطيني المُحل 
3254401	Israeli army probe reveals many soldiers killed, injured by ‘friendly fire’ during Hamas’ Oct. 7 attack
3254402	French premier warns of foreign policy impacts in case of far-right victory in elections
3254403	ABD'den Netanyahu'nun silah sevkiyatı iddialarına tepki
3254407	BM raportörleri, ülke ve şirketlere "İsrail'e silah tedarikini acilen durdurma" çağrısında bulundu
3254409	Luka Jovic's late header rescues draw for Serbia against Slovenia
3254410	Число задержанных на Западном берегу палестинцев достигло 9,3 тыс.
3254412	Naufrage de migrants: La Commission européenne appelle à enquêter sur les pratiques des garde-côtes grecs
3254413	IMF: ECB, gelecek verilere bağlı olarak para politikası duruşunu kademeli olarak gevşetebilir
3254414	İsrail'in Lübnan'da bir kamyonete düzenlediği hava saldırısında çok sayıda kişi yaralandı
3254417	Među njima Monet i Van Gogh: Švicarski muzej uklanja umjetnička djela zbog sumnje o nacističkoj pljački 
3254420	Bursa-Balıkesir il sınırında ormanlık alanda etkili olan yangının ilerlemesi durduruldu
3254421	Fransa Anayasa Mahkemesi, seçimin ertelenmesine yönelik talepleri reddetti
3254423	63 UN member states warn of 'malicious use of cyberspace'
3254424	Delhi heat wave claims 192 homeless lives in 9 days: NGO
3254434	Ultraortodoksni jevreji blokirali autoput u znak protesta zbog obavezne vojne službe u Izraelu
3254440	قدم.. صربيا تفلت من هزيمة محققة أمام سلوفينيا
3254444	Veliki broj ljudi ranjen u izraelskom zračnom napadu na kamionet u Libanu
3254446	تل أبيب.. يهود متدينون يتظاهرون احتجاجا على محاولات تجنيدهم
3254448	Portekiz, Türkiye maçı hazırlıklarını sürdürdü
3254456	Adalar'da İETT'ye minibüs tepkisi 5. gün de devam etti
3254457	Putin, Rus silahlarını Kuzey Kore dahil bölgelere sevk etme hakkını saklı tuttuklarını söyledi
3254458	مقررون أمميون يدعون إلى وقف توريد الأسلحة لإسرائيل
3254459	ABD, füze sistemleri sevkiyatında Ukrayna'ya öncelik verileceğini duyurdu
3254460	"تيكا" التركية تفتتح ورشة خياطة في كييف
3254462	إصابة جنديين إسرائيليين بجروح خطيرة في رفح 
3254464	القسام: إصابات مباشرة بقصف مقر لجيش إسرائيل في مدينة غزة
